State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Connecticut,"1,621","2,278","2,386","2,755","3,752","4,121","2,732","1,521","1,736","1,993","2,225","1,868","1,920","1,933","2,011","2,325","2,627","2,780"
Maine,565,604,738,777,"1,254","1,232",636,603,385,662,586,667,667,495,609,605,882,882
Massachusetts,"5,609","5,515","5,266","5,155","6,577","7,791","6,378","5,202","4,511","6,263","6,252","6,331","8,032","8,868","11,080","11,720","11,285","11,200"
New Hampshire,"1,146",882,838,"1,128","1,332","1,139",946,955,"1,049","1,148",679,616,564,627,893,713,726,584
Rhode Island,537,541,530,928,866,"1,003",817,512,460,453,268,325,500,530,874,"1,187","1,517","1,158"
Vermont,643,466,402,528,487,350,288,236,238,269,636,626,440,542,605,447,382,285
New Jersey,"4,756","4,163","3,687","5,040","5,543","6,858","5,498","4,081","3,724","3,578","3,735","4,128","4,340","4,833","6,475","6,982","6,975","6,037"
New York,"8,724","9,860","11,619","12,496","14,807","18,263","17,082","14,144","16,035","17,411","19,724","21,655","24,596","30,901","27,879","31,481","32,538","31,332"
Pennsylvania,"6,029","6,853","6,320","6,929","8,930","10,518","7,721","5,525","5,644","6,532","6,307","6,525","7,640","7,138","8,245","12,638","13,214","11,587"
Illinois,"7,133","7,557","7,416","8,686","11,217","11,153","9,742","7,860","7,086","7,191","7,830","7,937","9,976","9,748","8,799","8,989","8,761","8,411"
Indiana,"4,812","5,154","5,711","6,329","8,698","8,848","9,660","7,114","4,858","3,958","4,721","5,977","6,269","5,232","5,824","5,718","6,452","6,526"
Michigan,"4,583","5,751","6,116","6,976","6,660","6,177","3,781","3,872","5,288","4,760","3,489","4,076","6,498","7,188","7,417","7,369","8,981","8,085"
Ohio,"6,287","7,130","7,694","9,729","10,044","9,477","6,285","6,022","7,992","7,832","8,889","8,279","7,446","8,550","8,698","9,686","10,145","11,133"
Wisconsin,"3,023","3,218","3,655","3,688","4,477","4,613","3,633","3,073","2,961","3,461","4,022","3,572","3,852","3,739","4,174","5,476","6,536","7,514"
Iowa,"1,727","2,140","3,499","3,612","4,968","4,880","3,241","2,221","1,693","3,342","6,269","7,257","7,399","6,193","5,037","5,154","4,155","4,213"
Kansas,"1,442","1,372","2,267","2,297","2,499","2,492","1,858","1,819","2,216","3,021","3,057","3,301","2,580","3,127","3,044","3,442","3,036","3,296"
Minnesota,"3,071","3,107","3,397","3,130","3,905","3,135","1,918","1,583","2,366","2,976","3,220","4,614","4,939","4,564","4,555","5,104","5,877","4,932"
Missouri,"3,437","4,623","4,249","4,315","5,599","5,199","3,996","3,292","3,124","3,533","3,510","3,218","4,083","4,830","5,161","5,791","6,354","5,351"
Nebraska,"2,056","2,182","1,819","1,552","2,034","2,527","2,342","1,440",815,857,"1,469","1,685","1,612","2,068","2,254","2,863","2,614","2,469"
North Dakota,191,389,595,590,846,530,479,441,645,837,"1,872","2,462","2,028","2,880","1,668","1,220","1,461","1,346"
South Dakota,637,467,790,896,909,"1,263",722,533,638,514,722,509,646,959,"1,602","2,304","1,441",845
Delaware,321,348,253,565,650,364,169,327,442,691,602,492,478,667,"1,034","1,206","1,476","1,209"
District of Columbia,"1,349","1,279","1,267","1,044","1,204","1,814","1,573",949,"1,029","1,389","1,650","1,355","1,699","2,402","2,661","2,621","2,269","2,227"
Florida,"11,222","11,967","12,424","16,580","20,566","20,561","12,700","8,222","7,801","7,650","8,230","10,539","12,741","14,298","16,886","19,746","23,824","23,210"
Georgia,"6,116","6,870","8,160","9,082","9,327","9,699","6,592","5,192","4,302","4,752","6,195","6,651","7,782","8,726","9,248","9,420","11,115","10,378"
Maryland,"4,060","3,885","3,894","4,559","5,384","5,358","3,478","2,202","2,404","2,469","2,655","2,886","3,809","4,370","3,569","4,368","4,429","4,159"
North Carolina,"4,993","5,271","5,623","5,537","6,715","7,101","5,706","4,677","5,610","5,620","5,110","5,251","5,218","7,751","9,617","10,159","10,193","7,956"
South Carolina,"2,829","3,326","3,298","2,792","3,841","4,177","3,376","1,774","2,645","3,220","3,378","3,308","3,420","5,141","5,639","6,464","5,765","3,812"
Virginia,"5,158","5,377","5,392","7,412","7,685","6,826","4,919","3,778","2,966","3,625","4,152","3,858","4,023","5,386","6,838","7,256","8,251","8,284"
West Virginia,372,339,727,"1,076",912,"1,109","1,038",362,874,"1,553",487,449,494,321,286,498,602,477
Alabama,"3,405","2,832","2,854","3,229","3,569","6,060","7,772","5,664","2,885","2,732","3,005","2,664","2,904","3,090","3,156","4,165","4,844","5,247"
Kentucky,"2,780","2,962","2,830","2,699","2,438","2,589","2,434","1,874","2,083","2,358","2,724","3,147","3,744","4,101","4,400","4,975","6,458","5,920"
Mississippi,"1,478","1,312","1,729","2,032","2,004","3,175","2,516","1,728","2,128","2,067","2,629","2,288","1,902",856,683,"1,134","1,243","1,075"
Tennessee,"3,577","3,884","4,577","4,598","5,476","6,345","4,133","3,072","3,386","5,355","4,896","4,739","5,271","5,037","6,090","6,912","7,837","8,383"
Arkansas,"1,243","1,526","1,491","1,372","1,813","2,366","1,630","1,127","1,132","1,446","1,180","1,603","2,654","2,319","2,155","2,257","3,345","2,646"
Louisiana,"2,770","2,760","2,290","2,834","3,233","7,094","10,004","4,167","3,506","5,334","7,006","10,548","14,874","15,254","15,055","13,259","10,750","6,316"
Oklahoma,"2,763","2,200","2,309","2,337","2,555","2,942","2,531","2,353","2,186","2,064","2,247","3,139","4,676","4,035","3,872","3,848","4,297","3,167"
Texas,"15,381","15,419","17,373","20,172","27,505","33,765","27,895","17,470","14,339","15,275","20,005","30,799","46,334","52,075","45,980","41,387","48,643","50,797"
Arizona,"4,256","5,559","5,960","9,077","9,302","9,411","5,744","4,457","4,803","6,665","3,557","3,356","3,498","4,006","3,944","5,685","8,287","9,363"
Colorado,"2,773","3,419","4,652","5,304","6,040","6,142","4,673","2,776","2,564","4,518","4,130","4,775","5,821","7,040","7,424","6,555","6,158","6,556"
Idaho,809,842,917,"1,810","1,970","1,698","1,150","1,013",999,929,787,635,931,"1,394","1,338","1,609","1,664","1,561"
Montana,416,437,501,510,578,640,416,296,314,558,810,"1,228","1,272",841,869,765,812,771
Nevada,"3,198","5,532","5,385","6,757","10,888","11,815","8,025","1,777",676,"1,161","1,474","3,968","5,830","6,482","4,867","4,247","4,517","5,135"
New Mexico,736,998,"1,101","1,266","2,304","3,075","2,869","2,153","2,449","2,553","2,329","1,943","1,401","1,128","1,791","1,897","1,570","1,590"
Utah,"1,410","1,700","2,081","2,942","3,444","4,244","3,313","2,330","2,286","2,851","2,588","2,563","1,847","2,027","2,482","2,081","2,407","2,594"
Wyoming,344,196,210,254,459,616,490,365,570,817,524,461,946,585,474,351,479,675
Alaska,326,642,452,337,518,440,390,345,484,382,375,312,475,224,236,352,494,272
California,"17,794","18,284","19,520","21,656","24,259","22,282","16,162","11,800","10,412","12,228","13,218","16,430","19,908","26,305","30,230","30,416","25,729","21,330"
Hawaii,764,999,702,953,"1,143","1,341",879,345,484,500,905,"1,363","1,740","1,737","1,525","1,454","1,021",895
Oregon,"1,789","1,927","2,936","3,112","3,454","3,070","1,955","1,362","4,220","4,418","6,166","4,625","3,375","3,498","3,858","4,387","5,244","6,105"
Washington,"3,950","3,466","4,307","5,519","6,364","7,789","6,014","4,474","4,020","3,963","3,596","5,170","6,824","7,069","7,744","8,229","7,297","6,212"